ts_ms,x,y,state
26546,242.330,-0.028,0
26656,243.830,0.002,0
26767,245.580,-0.012,0
26875,246.580,0.019,0
26986,248.330,-0.014,0
27098,249.330,0.023,0
27208,251.080,0.015,0
27317,252.080,0.016,0
27427,253.830,-0.003,0
27539,254.830,0.012,0
27648,256.580,-0.040,0
27760,257.580,-0.018,0
27871,259.330,0.015,0
27981,260.330,-0.009,0
28092,262.080,0.068,0
28205,263.330,-0.066,0
28316,264.580,0.061,0
28426,266.330,0.032,0
28536,267.330,0.085,0
28648,269.080,0.020,0
28759,270.080,0.044,0
28871,271.830,0.033,0
28980,272.830,-0.036,0
29091,274.580,0.023,0
29205,275.830,-0.002,0
29315,277.080,0.060,0
29426,278.830,-0.002,0
29537,279.830,0.074,0
29647,281.580,0.001,0
29760,282.580,0.017,0
29868,284.330,0.061,0
29979,285.330,0.022,0
30090,287.080,-0.069,0
30202,288.330,-0.002,0
30315,289.830,0.012,0
30427,291.330,0.006,0
30538,292.330,-0.058,0
30649,294.080,0.054,0
30760,295.080,-0.007,0
30871,296.830,0.040,0
30981,298.080,-0.056,0
31090,299.580,0.032,0
31201,300.830,-0.036,0
31314,302.330,0.024,0
31426,303.580,0.031,0
31537,304.830,0.019,0
31648,306.580,0.027,0
31760,307.580,-0.011,0
31872,309.330,-0.030,0
31982,310.580,0.019,0
32094,312.080,-0.019,0
32206,313.330,0.026,0
32318,314.580,0.048,0
32426,316.080,0.030,0
32537,317.330,0.022,0
32647,318.830,-0.024,0
32758,320.080,0.021,0
32870,321.580,-0.083,0
32980,323.080,-0.024,0
33092,324.580,0.020,0
33201,325.830,0.001,0
33313,327.330,-0.044,0
33422,328.580,0.015,0
33533,329.830,-0.023,0
33642,331.330,0.000,0
33754,332.830,-0.015,0
33864,333.830,-0.060,0
33975,335.580,0.024,0
34086,336.580,0.007,0
34197,338.330,-0.025,0
34308,339.330,-0.027,0
34420,340.830,0.051,0
34531,342.330,-0.101,0
34644,343.830,0.023,0
34753,345.080,-0.017,0
34863,346.580,0.027,0
34974,348.080,-0.017,0
35086,349.080,0.060,0
35197,350.830,-0.060,0
35310,352.080,-0.035,0
35422,353.580,-0.085,0
35532,354.830,0.030,0
35643,356.330,0.047,0
35753,357.580,-0.036,0
35863,359.080,0.040,0
35976,360.580,0.025,0
36083,361.580,0.006,0
36193,363.080,0.026,0
36305,364.580,-0.003,0
36416,366.080,0.005,0
36527,367.080,-0.041,0
36636,368.830,0.048,0
36747,369.830,0.063,0
36858,371.330,0.016,0
36968,372.580,0.066,0
37080,373.830,0.001,0
37192,375.580,0.100,0
37303,376.830,0.013,0
37413,378.330,0.004,0
37526,379.580,0.010,0
37636,380.830,-0.013,0
37749,382.580,-0.000,0
37858,383.580,0.004,0
37970,385.330,0.012,0
38082,386.580,0.052,0
38194,388.080,0.028,0
38305,389.580,-0.057,0
38417,390.580,0.013,0
38527,392.080,-0.008,0
